date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36591 730551 4.263333333 7.813333333 8.731666667 0.009 0.03 1.36 1.933333333 1.333333333 1.533333333 1.5185915296382266 0.007805208 0.119666667 0.038333333 0.015 0.081075 0.002048333 0.133333333 4.005 0.071691667 172.5066 0.035112 0.082105579 0.005 45100.8 950.4 11318.4 25885.16129 10108.8 1.0855 91.56157277
36592 730552 4.271222379 7.813456673 8.749354086 0.00900159 0.02972665 1.358971664 1.929091372 1.334184507 1.547102372 1.605817101000932 0.007810408 0.119497503 0.03836934 0.018835824 0.080965459 0.002041952 0.133050616 3.994347819 0.07146832 174.321 0.034868362 0.081898051 0.005 45100.8 950.4 11318.4 25885.16129 10108.8 1.1127 129.07188
36593 730553 4.294344666 7.813822275 8.800745534 0.009006314 0.029435446 1.355970974 1.920021155 1.336681216 1.565094977 1.706018816544781 0.007825668 0.119003421 0.038476514 0.029769982 0.080647522 0.002023431 0.132226712 3.963430515 0.070820068 176.1354 0.03463228 0.081688389 0.005 45100.8 950.4 13737.6 25885.16129 10108.8 1.1502 216.27648
36594 730554 4.33188292 7.814423519 8.883334791 0.009014102 0.029127732 1.351124409 1.906431144 1.340738239 1.587153831 1.80867846270047 0.007850479 0.118204532 0.038653586 0.047342136 0.08013722 0.001993703 0.130897993 3.913806942 0.069779597 177.9624 0.034405434 0.081476577 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.1972 134.6058
36595 730555 4.383019866 7.81525378 8.994615639 0.009024884 0.028804851 1.344558447 1.888629802 1.346270359 1.613121615 1.910478724724663 0.007884331 0.11712095 0.038899285 0.071091944 0.079450583 0.001953703 0.129100828 3.847035957 0.068379592 179.8146 0.034189504 0.081262598 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.2529 191.78208
36596 730556 4.446938229 7.816306437 9.132081861 0.00903859 0.028468149 1.336399567 1.866925591 1.353192356 1.642841011 2.0113689646561856 0.007926714 0.115772787 0.039212343 0.100559068 0.078603642 0.001904364 0.12687159 3.764676415 0.066652737 181.6668 0.033986169 0.081046435 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.3164 215.41464
36597 730557 4.522820735 7.817574867 9.293227239 0.00905515 0.028118968 1.326774246 1.841626973 1.361419011 1.676154701 2.1113966062713874 0.00797712 0.114180157 0.03959149 0.135283166 0.077612427 0.001846621 0.124246649 3.668287172 0.064631718 183.519 0.033797108 0.080828073 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.3868 219.04344
36598 730558 4.609850108 7.819052448 9.475545554 0.009074494 0.027758652 1.315808964 1.813042411 1.370865104 1.712905367 2.226363085638201 0.008035039 0.112363171 0.040035455 0.1748039 0.076492969 0.001781406 0.121262376 3.559427083 0.062349219 185.3964 0.033624 0.080607495 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.4633 210.90132
36599 730559 4.707209076 7.820732556 9.676530588 0.009096552 0.027388546 1.303630198 1.781480366 1.381445416 1.752935689 2.3686406008819816 0.008099961 0.110341942 0.040542969 0.218660929 0.075261297 0.001709655 0.117955142 3.439655005 0.059837925 187.2738 0.033468525 0.080384683 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.545 96.77556
36600 730560 4.814080361 7.822608569 9.893676124 0.009121254 0.027009993 1.290364427 1.7472493 1.393074728 1.79608835 2.5103177294393215 0.008171377 0.108136584 0.041112764 0.266393913 0.073933443 0.001632301 0.114361319 3.310529792 0.057130522 189.1638 0.033332362 0.080159622 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.6311 115.7814
36601 730561 4.929646691 7.824673864 10.12447594 0.009148531 0.026624337 1.276138129 1.710657677 1.40566782 1.842206032 2.650864767653878 0.008248777 0.105767208 0.041743568 0.317542512 0.072525437 0.001550277 0.110517276 3.173610301 0.054259694 191.0664 0.03321719 0.079932296 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.7207 58.42368
36602 730562 5.05309079 7.826921819 10.36642383 0.009178312 0.026232923 1.261077783 1.672013959 1.419139474 1.891131417 2.7897310517942726 0.008331653 0.103253928 0.042434112 0.371646387 0.071053309 0.001464518 0.106459386 3.030455388 0.051258126 192.969 0.033124688 0.079702687 0.005 45100.8 950.4 15465.6 25885.16129 10108.8 1.8129 61.28136
36603 730563 5.183595384 7.829345811 10.61701356 0.009210528 0.025837093 1.245309866 1.631626606 1.43340447 1.942707185 2.9268193448775057 0.008419493 0.100616857 0.043183127 0.428245198 0.06953309 0.001375957 0.102224018 2.882623907 0.048158503 194.8842 0.033056536 0.079470779 0.005 37238.4 950.4 15465.6 25885.16129 10108.8 1.907 192.0996
36604 730564 5.320343197 7.831939218 10.87373892 0.009245108 0.025438193 1.228960858 1.589804083 1.448377588 1.996776019 3.0622785658870466 0.00851179 0.097876106 0.043989343 0.486878604 0.06798081 0.001285529 0.097847545 2.731674715 0.044993511 196.812 0.033014414 0.079236555 0.005 30153.6 950.4 15465.6 25885.16129 10108.8 2.0019 19.6182
36605 730565 5.462516956 7.834695416 11.1340937 0.009281983 0.025037565 1.212157237 1.54685485 1.46397361 2.053180601 3.204343642969878 0.008608034 0.095051789 0.044851491 0.547086265 0.0664125 0.001194167 0.093366337 2.579166667 0.041795833 198.7398 0.033 0.079 0.005 26179.2 950.4 13132.8 25885.16129 10108.8 2.097 65.49984
36606 730566 5.609299385 7.837607784 11.39557167 0.009321083 0.024636554 1.19502548 1.503087371 1.480107317 2.111763612 3.3749285593799745 0.008707715 0.092164018 0.0457683 0.608407842 0.06484419 0.001102804 0.088816764 2.426658619 0.038598156 200.6676 0.033024437 0.078758128 0.005021382 19267.2 950.4 13132.8 25885.16129 10108.8 2.1913 172.39068
36607 730567 5.75987321 7.840669698 11.65566661 0.009362337 0.024236503 1.177692067 1.458810107 1.496693488 2.172367734 3.539296008427373 0.008810323 0.089232907 0.046738501 0.670382995 0.06329191 0.001012376 0.084235199 2.275709427 0.035433163 202.608 0.033095599 0.07850829 0.005083649 16502.4 950.4 13132.8 25885.16129 10108.8 2.2839 39.55392
36608 730568 5.913421156 7.843874536 11.91187231 0.009405676 0.023838757 1.160283475 1.414331521 1.513646905 2.234835648 3.702629950065783 0.00891535 0.086278567 0.047760824 0.732551384 0.061771691 0.000923815 0.079658012 2.127877946 0.032333541 204.5484 0.033210265 0.078250978 0.005183982 16502.4 950.4 15465.6 25885.16129 10108.8 2.3741 160.4701685
36609 730569 6.069125949 7.847215676 12.16168255 0.00945103 0.023444659 1.142926183 1.369960075 1.530882348 2.299010037 3.8594931041144136 0.009022285 0.083321111 0.048834 0.794452668 0.060299563 0.000838056 0.075121573 1.984723032 0.029331973 206.5014 0.033365211 0.077986681 0.00531956 16502.4 950.4 15465.6 25885.16129 10108.8 2.4609 38.17044
