date ortp no3 silica temp light chla phyto micro osci sce syn clad daph
32143 0.001353 0.415706 4.171 6.15 116.1 0.063676 2.648128461185182 294 0 205 0 0.00028 0.0098
32144 0.001324 0.434147 4.185 6.08 90.5625 0.062962 2.551465319105222 264 0 188 0 0.00026 0.0091
32145 0.001294 0.452588 4.2 6.01 14.85 0.062247 2.462982934080423 235 0 171 0 0.00024 0.0084
32146 0.001265 0.471029 4.215 5.94 91.125 0.061532 2.3787400301210364 205 0 154 0 0.00021 0.00735
32147 0.001235 0.489471 4.229 5.87 29.475 0.060818 2.2945243516192173 176 0 136 0 0.00019 0.00665
32148 0.001206 0.507912 4.244 5.8 127.4625 0.060103 2.2103044627208672 147 0 119 0 0.00016 0.0056
32149 0.001177 0.526353 4.259 5.73 48.4875 0.059388 2.126058106679005 117 0 102 0 0.00014 0.0049
32150 0.001147 0.544794 4.273 5.66 89.55 0.058674 2.041813521162199 88 0 85 0 0.00012 0.0042
32151 0.001118 0.563235 4.288 5.59 120.4875 0.057959 1.957570706170449 58 0 68 0 9E-05 0.00315
32152 0.001088 0.581676 4.302 5.51 134.325 0.057244 1.8733296617037551 29 0 51 0 7E-05 0.00245
32153 0.001059 0.600118 4.317 5.44 135.5625 0.056529 1.7890903877621174 0 0 34 0 5E-05 0.00175
32154 0.001029 0.618559 4.332 5.37 111.6 0.055815 1.72924778506087 0 0 17 0 2E-05 0.0007
32155 0.001 0.637 4.346 5.3 120.4875 0.0551 1.6897068478616355 0 0 0 0 0 0
32156 0.001111 0.635111 4.361 5.23 109.125 0.054079 1.6508805917707376 0 0 21 0 0 0
32157 0.001222 0.633222 4.348 5.16 74.25 0.053058 1.6137544311024576 0 0 43 0 0 0
32158 0.001333 0.631333 4.334 5.09 84.9375 0.052037 1.5785044170210274 0 0 64 0 0 0
32159 0.001444 0.629444 4.321 5.02 132.4125 0.051016 1.5438882095554585 0 0 86 0 0 0
32160 0.001556 0.627556 4.308 4.95 117.675 0.049994 1.5098428568826692 0 0 107 0 0 0
32161 0.001667 0.625667 4.294 4.88 128.025 0.048973 1.476088369384845 0 0 129 0 0 0
32162 0.001778 0.623778 4.281 4.81 55.4625 0.047952 1.4415917406034473 0 0 150 0 0 0
32163 0.001889 0.621889 4.267 4.74 92.25 0.046931 1.4067562588217688 0 0 172 0 0 0
32164 0.002 0.62 4.254 4.67 66.7125 0.04591 1.3715328644915241 0 0 194 0 0 0
32165 0.002111 0.618111 4.241 4.6 145.125 0.044889 1.3376959047261685 0 0 215 0 0 0
32166 0.002222 0.616222 4.227 4.68 136.6875 0.043868 1.3076889724463663 0 0 237 0 0 0
32167 0.002333 0.614333 4.214 4.75 134.6625 0.042847 1.2801633420544338 0 0 258 0 0 0
32168 0.002444 0.612444 4.201 4.83 112.05 0.041826 1.2549499434327986 0 0 280 0 0 0
32169 0.002556 0.610556 4.187 4.9 140.9625 0.040804 1.2317562430343154 0 0 301 0 0 0
32170 0.002667 0.608667 4.174 4.98 126.675 0.039783 1.2106227043019409 0 0 323 0 0 0
32171 0.002778 0.606778 4.16 5.06 149.4 0.038762 1.1912619500474007 0 0 344 0 0 0
32172 0.002889 0.604889 4.147 5.13 140.9625 0.037741 1.17374086302524 0 0 366 0 0 0
32173 0.003 0.603 4.134 5.21 122.4 0.03672 1.15780735848479 0 0 388 0 0 0
32174 0.003111 0.601111 4.12 5.28 118.6875 0.035699 1.1434815650549037 0 0 409 0 0 0
32175 0.003222 0.599222 4.107 5.36 136.0125 0.034678 1.1307215159576698 0 0 431 0 0 0
32176 0.003333 0.597333 4.094 5.43 160.0875 0.033657 1.1193130412246843 0 0 452 0 0 0
32177 0.003444 0.595444 4.08 5.51 110.25 0.032636 1.109189618311854 0 0 474 0 0 0
32178 0.003556 0.593556 4.067 5.59 20.475 0.031614 1.1002846690364485 0 0 495 0 0 0
32179 0.003667 0.591667 4.054 5.66 157.3875 0.030593 1.0926493994058566 0 0 517 0 0 0
32180 0.003778 0.589778 4.04 5.74 173.025 0.029572 1.0862676878317363 0 0 538 0 0 0
32181 0.003889 0.587889 4.027 5.81 165.4875 0.028551 1.0810580820106401 0 0 560 0 0 0
32182 0.004 0.586 4.013 5.89 162 0.02753 1.0769775448857826 0 0 582 0 0 0
